Key,en,es,ar,fr
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Revise su bandeja de entrada para obtener el código de autorización.,يجب التحقق من حسابك. يُرجى مراجعة بريدك الإلكتروني للحصول على رمز التفويض.,Votre compte doit être vérifié. Veuillez consulter votre boîte mail pour obtenir le code d'autorisation.
Authorize,Authorize,Autorizar,تفويض,Autoriser
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Mot de passe oublié
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل بريدك الإلكتروني أو اسم المستخدم الخاص بحسابك للتحقق,Saisissez l'adresse e-mail ou le nom d'utilisateur de votre compte pour vérifier
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
Reset your password,Reset your password,Restablecer su contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialiser votre mot de passe
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Por favor revise su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Or,Or,O,أو,Ou
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
I have read agreed with the,I have read agreed with the,He leído y estoy de acuerdo con el,لقد قرأت موافق عليه,J'ai lu et je suis d'accord avec le
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Condiciones de uso, política de privacidad y advertencias",شروط الاستخدام وسياسة الخصوصية والتحذيرات,"Conditions d'utilisation, politique de confidentialité et avertissement"
Register Now,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
Already Have An Account,Already Have An Account,Ya tengo una cuenta,هل لديك حساب بالفعل,Vous avez déjà un compte
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك,Informations KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Get Support,Get Support,Obtener soporte,احصل على الدعم,Obtenir de l'aide
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,قم بملء المعلومات والتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.
Profile Settings,Profile Settings,Configuración del perfil,إعدادات الملف الشخصي,Paramètres du profil
Change,Change,Cambiar,يتغير,Changement
Support Tickets,Support Tickets,Tickets de soporte,تذاكر الدعم,Tickets d'assistance
Add New Ticket,Add New Ticket,Agregar nuevo ticket,إضافة تذكرة جديدة,Ajouter un nouveau ticket
Search,Search,Buscar,يبحث,Recherche
"Transfer Money Charges
",Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
"Exchange Money Charges
","Exchange Money Charges
",Cargos por cambio de moneda,رسوم صرف العملات,Frais de change
"Add Money Charge
",Add Money Charge,Añadir cargo por dinero,إضافة رسوم مالية,Ajouter des frais d'argent
"Money Out Charges
",Money Out Charges,Cargos por retiro de dinero,رسوم سحب الأموال,Frais de retrait d'argent
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS
From Address,From Address,Dirección de remitente,من العنوان,Adresse de l'expéditeur
(Max 5),(Max 5),(Máximo 5),(الحد الأقصى 5),(Max 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce
category?,category?,¿categoría?,فئة؟,catégorie?
Remove,Remove,Eliminar,يزيل,Retirer
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category status updated successfully!,Category status updated successfully!,¡Estado de la categoría actualizado exitosamente!,تم تحديث حالة الفئة بنجاح!,Le statut de la catégorie a été mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de vouloir supprimer cette annonce ?
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد,Créer une nouvelle annonce
Select Category,Select Category,Seleccionar categoría,اختر الفئة,Sélectionnez une catégorie
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,"El título del anuncio es similar. Por favor, actualícelo o cámbielo.",عنوان الإعلان مشابه. يُرجى تحديث/تغيير هذا العنوان.,Le titre de l'annonce est similaire. Veuillez le mettre à jour/modifier.
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!,Annonce créée avec succès !
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó correctamente!,تم تحديث حالة الإعلان بنجاح!,Le statut de l'annonce a été mis à jour avec succès !
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!,Annonce supprimée avec succès !
Announcement does't exists!,Announcement does't exists!,¡El anuncio no existe!,الإعلان غير موجود!,L'annonce n'existe pas !
Announcement Edit,Announcement Edit,Anuncio Editar,تعديل الإعلان,Annonce Modifier
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!,Annonce mise à jour avec succès !
Add Tags,Add Tags,Agregar etiquetas,إضافة علامات,Ajouter des balises
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum
Maximum,Maximum,Máximo,الحد الأقصى,Maximum
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Percent,Percent,Por ciento,النسبة المئوية,Pour cent
Input Text,Input Text,Texto de entrada,إدخال النص,Texte d'entrée
File,File,Archivo,ملف,Déposer
Textarea,Textarea,Área de texto,منطقة النص,Zone de texte
Select,Select,Seleccionar,يختار,Sélectionner
* (Use for make page link (URL)),* (Use for make page link (URL)),* (Utilizar para crear un enlace a la página (URL)),* (استخدم لإنشاء رابط الصفحة (URL)),* (Utiliser pour créer un lien de page (URL))
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Devise prise en charge
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Devise activée
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Type de devise
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Nom de la passerelle
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة,Titre de la passerelle
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole monétaire
Are you sure to delete this,Are you sure to delete this,¿Estás seguro de eliminar esto?,هل أنت متأكد من حذف هذا؟,Êtes-vous sûr de vouloir supprimer ceci
gatewayt,gateway,puerta,بوابة,porte
Production,Production,Producción,إنتاج,Production
Sandbox,Sandbox,Salvadera,صندوق الرمل,Bac à sable
"Client ID
",Client ID,ID de cliente,معرف العميل,ID client
"Secret ID
",Secret ID,Identificación secreta,معرف سري,ID secret
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Environnement de passerelle
Instruction,Instruction,Instrucción,تعليمات,Instruction
ex: Paypal,ex: Paypal,ej.: Paypal,مثال: باي بال,ex: Paypal
ex: United State Dollar,ex: United State Dollar,ej.: dólar estadounidense,مثال: الدولار الأمريكي,ex : dollar des États-Unis
ex: USD,ex: USD,ej.: USD,مثال: دولار أمريكي,ex: USD
ex: $,ex: $,ej: $,مثال: $,ex: $
SSL,SSL,SSL,SSL,SSL
TLS,TLS,TLS,بروتوكول TLS,TLS
LTR,LTR,Largo plazo,LTR,LTR
RTL,RTL,RTL,ار تي ال,RTL
Find Doctor,Find Doctor,Encuentra un doctor,ابحث عن طبيب,Trouver un médecin
Hospital,Hospital,Hospital,مستشفى,Hôpital
Doctor List,Doctor List,Lista de médicos,قائمة الأطباء,Liste des médecins
Investigation,Investigation,Investigación,تحقيق,Enquête
Home Service,Home Service,Servicio a domicilio,الخدمة المنزلية,Service à domicile
Health Package,Health Package,Paquete de salud,باقة الصحة,Forfait Santé
Branches,Branches,Sucursales,الفروع,Succursales
Select Hospital,Select Hospital,Seleccione Hospital,اختر المستشفى,Sélectionnez l'hôpital
Select Branch,Select Branch,Seleccionar sucursal,اختر الفرع,Sélectionnez une succursale
Select Department,Select Department,Seleccionar departamento,اختر القسم,Sélectionnez le département
Book Now,Book Now,Reservar ahora,احجز الآن,Réservez maintenant
